image_id,artwork_id,artist,width,height,aspect_ratio,colorfulness,HR,FAR,CR,RESMEM
7649eda7-1cc3-2b84-257e-670c0953b26b,56862,Carducius Plantagenet Ream,3000,2120,1.4150943396226414,27.7605,0.875,0.025,0.85,0.791849792003631
a599382c-d166-8f30-904b-64b19514265e,80538,Master of the Female Half-Lengths,6095,8866,0.6874577035867359,32.9587,0.875,0.025,0.85,0.921231091022491
b309fd62-e317-7ec8-0623-41573e93b22c,11575,Pompeo Girolamo Batoni,3768,4536,0.8306878306878307,25.9137,0.875,0.025,0.85,0.892332673072814
befbea43-31d3-3093-c53f-399c047c50c9,61136,Frederick R. Spencer,1877,2250,0.8342222222222222,38.885,0.9,0.05,0.85,0.858784437179565
c66cff23-22a1-e440-b390-ef4e68facd6a,64412,Emile van Marcke de Lummen,3000,2092,1.4340344168260037,0.0,0.95,0.1,0.85,0.624682784080505
d51d6837-5331-4b12-6e97-ca0bd1021940,28136,Edwin Henry Landseer,3000,2117,1.4170996693434106,0.0,0.875,0.025,0.85,0.725802421569824
eb78ede8-2f51-cae7-a09a-9d4e13001516,115808,Unknown artist,3000,1573,1.9071837253655435,20.1835,0.875,0.025,0.85,0.637559950351715
f117b976-3897-fbbd-7a1f-ac8a5ccbfa51,15705,Antonio Mancini,3000,1764,1.7006802721088434,30.36,0.9,0.05,0.85,0.795592367649078
ebd9caaa-d321-4e61-d6c7-09a45953848d,190830,Kay Rosen,3472,5466,0.6351994145627515,8.8476,0.929,0.095,0.8340000000000001,0.886995077133178
06f014d4-1872-577a-dfb9-2f831d086a82,238754,Jose Leonilson,1971,2620,0.7522900763358779,22.3215,0.881,0.048,0.833,0.937998414039611
045cd4c2-5123-9187-0a01-e3a33916b994,257404,Ed Clark,8230,6214,1.324428709365948,60.6993,0.878,0.048,0.83,0.776973366737365
c696dd0e-3166-f4e3-3159-525bf266249a,15257,Josef Albers,2249,2250,0.9995555555555555,87.9215,0.927,0.098,0.8290000000000001,0.885061919689178
d85f52f9-d60a-1485-cccb-892cd18fdfcd,25019,George Woehrl,3000,2528,1.1867088607594938,25.1599,0.902,0.073,0.8290000000000001,0.929396390914917
ee59c1e1-c464-8f95-2e40-6daedf237e48,70185,Lucian Freud,3000,1915,1.566579634464752,14.7549,0.902,0.073,0.8290000000000001,0.736601769924163
29ed4a54-868c-a158-f574-cddfdffe809c,61139,William Bonnell,1866,2250,0.8293333333333334,29.7475,0.902,0.073,0.8290000000000001,0.852938711643219
8e7bbaa0-1748-3844-56ce-f6c22c50e583,61158,Erastus Salisbury Field,1868,2250,0.8302222222222222,28.0852,0.902,0.073,0.8290000000000001,0.887619495391845
9d0161ca-504d-44be-b99c-9b4e06798d47,115183,Elizabeth Murray,3000,1757,1.707455890722823,21.6375,0.902,0.073,0.8290000000000001,0.827872931957244
cbf38585-f164-5b8a-2827-873a4a0a752e,81901,Polidoro da Caravaggio,3000,2273,1.3198416190057194,46.2264,0.902,0.073,0.8290000000000001,0.808921635150909
1ff6d8fe-5cc0-f7b4-5af5-870df19f0330,117241,Balthus,6486,7661,0.8466257668711656,27.3735,0.878,0.049,0.829,0.855547666549682
b7a8f2b4-a17a-8266-7710-f7f82a80ccf8,73049,Arakawa ShÅ«saku,7440,5548,1.3410237923576063,7.8087,0.878,0.049,0.829,0.822448909282684
ef0b4c76-c524-053a-f171-3e05f01f8d27,59865,Andre Derain,1823,2250,0.8102222222222222,27.5391,0.878,0.049,0.829,0.856877326965332
4a076002-dffe-54e9-5256-0691c3a65c3b,16794,Winslow Homer,3000,1683,1.7825311942959001,22.6228,0.878,0.049,0.829,0.757953524589538
cfcd4a54-d301-9ba9-8ec9-19169f66cf43,114318,David Allan,2291,3000,0.7636666666666667,31.3047,0.878,0.049,0.829,0.718674600124359
d36bfff3-6670-e3c8-c087-df4b51683b71,95613,Pieter Verhaert,2606,2250,1.1582222222222223,0.0,0.878,0.049,0.829,0.738312661647796
528f813c-9a8b-b07a-d28f-ac443bac4dd8,62271,Ivan Albright,3659,7259,0.5040639206502273,16.3117,0.9,0.073,0.8270000000000001,0.84354019165039
ba490e49-d2dc-907d-2809-ef22ff15f547,220160,,3000,1677,1.7889087656529516,63.6623,0.9,0.073,0.8270000000000001,0.843990206718444
6f92b799-de7c-7603-3644-3934563703f2,111326,Everett Shinn,3000,2215,1.3544018058690745,27.0414,0.85,0.024,0.826,0.682864785194397
de1e2f41-8bbc-4530-7d63-e9cbcae88de7,100227,Gerhard Richter,1810,2250,0.8044444444444444,48.01,0.85,0.024,0.826,0.805767059326171
315f62a3-34a7-40a7-24f8-4ce495568e2f,58622,Andre Dunoyer de Segonzac,3000,2184,1.3736263736263736,42.3583,0.9,0.075,0.8250000000000001,0.74695885181427
40018ea0-fc65-6cb1-d441-72e84d896699,186825,William Bailey,3000,2021,1.4844136566056407,39.3166,0.9,0.075,0.8250000000000001,0.683848738670349
419dfc20-ac89-5777-60c8-af1fd05cf828,60053,Frederick William MacMonnies,1864,2250,0.8284444444444444,23.8682,0.9,0.075,0.8250000000000001,0.879930973052978
461ed835-a63f-fdcc-57e3-c25c8053c09e,,Victor de Vasarely,2102,2250,0.9342222222222222,6.5452,0.9,0.075,0.8250000000000001,0.851175665855407
